superregion2,iso3,age,female,urban,edu,year,varnum,v05_type,v05_type_desc,Median,serving,country name
SSA,ERI,999.0,999,999,999,2018,5,1,1: Foods & Beverages,28.2520988058781,0.30264702,Eritrea
HIC,ESP,999.0,999,999,999,2018,5,1,1: Foods & Beverages,21.0310161599446,0.21473368,Spain
FSU,EST,999.0,999,999,999,2018,5,1,1: Foods & Beverages,5.98064156264198,0.061302189,Estonia
SSA,ETH,999.0,999,999,999,2018,5,1,1: Foods & Beverages,34.4709274044835,0.37109408,Ethiopia
HIC,FIN,999.0,999,999,999,2018,5,1,1: Foods & Beverages,6.12665663839431,0.062773123,Finland
Asia,FJI,999.0,999,999,999,2018,5,1,1: Foods & Beverages,29.0469729757191,0.30537188,Fiji
HIC,FRA,999.0,999,999,999,2018,5,1,1: Foods & Beverages,13.3571592315269,0.13732044,France
Asia,FSM,999.0,999,999,999,2018,5,1,1: Foods & Beverages,27.9150977643763,0.29412177,Micronesia
SSA,GAB,999.0,999,999,999,2018,5,1,1: Foods & Beverages,2.61138742846189,0.028067362,Gabon
HIC,GBR,999.0,999,999,999,2018,5,1,1: Foods & Beverages,40.2811058321959,0.41445729,United Kingdom
FSU,GEO,999.0,999,999,999,2018,5,1,1: Foods & Beverages,34.5405454442349,0.35726669,Georgia
SSA,GHA,999.0,999,999,999,2018,5,1,1: Foods & Beverages,19.4550359683018,0.20818658,Ghana
SSA,GIN,999.0,999,999,999,2018,5,1,1: Foods & Beverages,3.2438271458946,0.035155818,Guinea
SSA,GMB,999.0,999,999,999,2018,5,1,1: Foods & Beverages,7.02647885230659,0.076532826,Gambia
SSA,GNB,999.0,999,999,999,2018,5,1,1: Foods & Beverages,90.9183294249315,0.98353881,Guinea-Bissau
SSA,GNQ,999.0,999,999,999,2018,5,1,1: Foods & Beverages,36.7547656746837,0.39487284,Equatorial Guinea
HIC,GRC,999.0,999,999,999,2018,5,1,1: Foods & Beverages,13.9324726881476,0.14206661,Greece
LAC,GRD,999.0,999,999,999,2018,5,1,1: Foods & Beverages,28.5384992132837,0.29684314,Grenada
LAC,GTM,999.0,999,999,999,2018,5,1,1: Foods & Beverages,46.0855102435475,0.48845267,Guatemala
LAC,GUY,999.0,999,999,999,2018,5,1,1: Foods & Beverages,21.3686361635644,0.22403687,Guyana
LAC,HND,999.0,999,999,999,2018,5,1,1: Foods & Beverages,41.1031819915978,0.4325285,Honduras
FSU,HRV,999.0,999,999,999,2018,5,1,1: Foods & Beverages,8.22299254323675,0.084045306,Croatia
LAC,HTI,999.0,999,999,999,2018,5,1,1: Foods & Beverages,26.8157606315004,0.28352463,Haiti
FSU,HUN,999.0,999,999,999,2018,5,1,1: Foods & Beverages,16.183507636216,0.16545862,Hungary
Asia,IDN,999.0,999,999,999,2018,5,1,1: Foods & Beverages,27.5328633470221,0.28775987,Indonesia
SAARC,IND,999.0,999,999,999,2018,5,1,1: Foods & Beverages,24.8755873337748,0.25936386,India
HIC,IRL,999.0,999,999,999,2018,5,1,1: Foods & Beverages,22.2864948645613,0.23032756,Ireland
MENA,IRN,999.0,999,999,999,2018,5,1,1: Foods & Beverages,15.4473399773411,0.16144796,Iran
MENA,IRQ,999.0,999,999,999,2018,5,1,1: Foods & Beverages,36.192410469195,0.38783124,Iraq
HIC,ISL,999.0,999,999,999,2018,5,1,1: Foods & Beverages,5.3561722244837,0.055201199,Iceland
MENA,ISR,999.0,999,999,999,2018,5,1,1: Foods & Beverages,70.6217839381542,0.74174756,Israel
HIC,ITA,999.0,999,999,999,2018,5,1,1: Foods & Beverages,13.7709661096029,0.14039114,Italy
LAC,JAM,999.0,999,999,999,2018,5,1,1: Foods & Beverages,11.3601634237773,0.11812586,Jamaica
MENA,JOR,999.0,999,999,999,2018,5,1,1: Foods & Beverages,25.935244304524,0.27392527,Jordan
Asia,JPN,999.0,999,999,999,2018,5,1,1: Foods & Beverages,58.9349508695898,0.60070276,Japan
